,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
5497,Colorado Rockies,0,Atlanta Braves,31.0,0.0,0.28600000000000003,0.33799999999999997,0.377,0.715,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,L,True,3.0
5498,Boston Red Sox,1,Tampa Bay Rays,35.0,0.0,0.304,0.39299999999999996,0.57,0.963,3.3,0.0,238.0,956.0,62%,17%,14%,42%,22%,8%,1.203,0.308,9.9,3.5,R,R,False,2.0
5499,Los Angeles Dodgers,0,Seattle Mariners,26.0,2.0,0.243,0.319,0.511,0.83,15.0,0.0,17.0,64.0,55%,16%,0%,29%,14%,29%,2.333,0.308,0.0,0.0,R,L,True,0.0
5500,San Francisco Giants,0,Cincinnati Reds,35.0,0.0,0.22,0.253,0.293,0.546,5.17,2.0,184.0,682.0,61%,14%,11%,46%,30%,9%,1.8259999999999998,0.325,6.1,0.93,L,R,True,7.0
5501,Arizona D'Backs,0,San Diego Padres,30.0,0.0,0.306,0.364,0.5479999999999999,0.912,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,L,True,17.0
5502,Cincinnati Reds,1,San Francisco Giants,24.0,0.0,0.29100000000000004,0.33299999999999996,0.40700000000000003,0.741,4.68,0.0,501.0,1899.0,64%,19%,7%,51%,24%,4%,1.349,0.327,7.8,3.32,L,R,True,24.0
5503,Milwaukee Brewers,0,St. Louis Cardinals,27.0,0.0,0.261,0.3,0.414,0.713,4.16,0.0,578.0,2290.0,61%,19%,9%,46%,29%,4%,1.291,0.266,7.4,1.93,R,R,False,0.0
5504,Cleveland Indians,1,Baltimore Orioles,29.0,1.0,0.156,0.23800000000000002,0.231,0.469,5.98,0.0,182.0,724.0,64%,12%,18%,46%,31%,6%,1.5490000000000002,0.381,12.8,2.76,L,R,True,5.0
5505,Kansas City Royals,0,Chicago White Sox,28.0,0.0,0.23199999999999998,0.27,0.43,0.7,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,R,False,0.0
5506,Baltimore Orioles,0,Cleveland Indians,28.0,5.0,0.196,0.31,0.315,0.625,5.51,0.0,199.0,758.0,68%,18%,8%,62%,19%,3%,1.204,0.295,6.8,9.0,R,L,True,0.0
