,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
1222,Texas Rangers,1,Baltimore Orioles,35.0,0.0,0.281,0.392,0.479,0.87,5.98,0.0,182.0,724.0,64%,12%,18%,46%,31%,6%,1.5490000000000002,0.381,12.8,2.76,L,L,False,4.0
1223,Houston Astros,0,Los Angeles Dodgers,27.0,19.0,0.0,0.0,0.0,0.0,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,0.0
1224,New York Mets,1,Atlanta Braves,25.0,0.0,0.235,0.34600000000000003,0.40700000000000003,0.752,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,L,True,6.0
1225,Chicago Cubs,1,San Diego Padres,26.0,0.0,0.267,0.358,0.41700000000000004,0.775,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,R,False,6.0
1226,Los Angeles Angels,0,Cleveland Indians,26.0,2.0,0.145,0.242,0.23600000000000002,0.478,3.13,0.0,101.0,375.0,65%,24%,14%,52%,19%,2%,1.261,0.306,12.9,2.54,L,S,True,10.0
1227,Los Angeles Angels,0,Cleveland Indians,26.0,2.0,0.145,0.242,0.23600000000000002,0.478,3.13,0.0,101.0,375.0,65%,24%,14%,52%,19%,2%,1.261,0.306,12.9,2.54,L,S,True,10.0
1228,Tampa Bay Rays,1,Chicago White Sox,28.0,1.0,0.252,0.318,0.47700000000000004,0.7959999999999999,4.59,3.0,728.0,2731.0,61%,16%,11%,36%,26%,9%,1.295,0.265,7.0,2.1,R,R,False,7.0
1229,Seattle Mariners,1,Toronto Blue Jays,37.0,2.0,0.265,0.35,0.537,0.887,7.2,0.0,91.0,371.0,63%,16%,14%,30%,39%,5%,1.8,0.423,10.8,2.4,,R,True,23.0
1230,San Francisco Giants,0,Arizona D'Backs,31.0,2.0,0.26899999999999996,0.306,0.46299999999999997,0.768,4.91,1.0,350.0,1480.0,62%,18%,12%,39%,27%,8%,1.4380000000000002,0.315,11.6,2.36,L,R,True,3.0
1231,Houston Astros,0,Los Angeles Dodgers,25.0,15.0,0.17600000000000002,0.247,0.235,0.483,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,0.0
1232,Oakland Athletics,1,Detroit Tigers,30.0,0.0,0.259,0.33399999999999996,0.5720000000000001,0.9059999999999999,6.07,0.0,140.0,578.0,62%,16%,12%,39%,29%,9%,1.7530000000000001,0.35600000000000004,9.1,1.88,L,R,True,14.0
1233,Chicago White Sox,0,Tampa Bay Rays,25.0,0.0,0.228,0.321,0.413,0.733,3.84,0.0,510.0,1961.0,65%,17%,8%,38%,28%,9%,1.262,0.28,8.0,2.68,L,L,False,11.0
1234,Arizona D'Backs,1,San Francisco Giants,31.0,0.0,0.257,0.375,0.465,0.84,2.77,0.0,221.0,807.0,69%,17%,12%,45%,24%,7%,1.084,0.299,8.8,4.5,L,L,False,3.0
1235,Colorado Rockies,0,Milwaukee Brewers,32.0,0.0,0.23199999999999998,0.3,0.436,0.736,2.38,0.0,191.0,791.0,66%,15%,15%,35%,32%,14%,1.147,0.313,11.5,4.46,R,R,False,0.0
1236,Toronto Blue Jays,0,Seattle Mariners,27.0,0.0,0.255,0.293,0.455,0.748,3.9,0.0,642.0,2292.0,67%,18%,8%,50%,25%,5%,1.261,0.297,5.6,3.1,R,R,False,26.0
1237,Pittsburgh Pirates,1,St. Louis Cardinals,27.0,0.0,0.28600000000000003,0.33899999999999997,0.45799999999999996,0.797,3.97,1.0,201.0,883.0,61%,15%,14%,41%,21%,6%,1.456,0.307,10.9,2.62,L,R,True,3.0
1238,Pittsburgh Pirates,1,St. Louis Cardinals,29.0,0.0,0.304,0.33399999999999996,0.475,0.809,3.97,1.0,201.0,883.0,61%,15%,14%,41%,21%,6%,1.456,0.307,10.9,2.62,L,L,False,2.0
1239,Miami Marlins,0,Philadelphia Phillies,28.0,0.0,0.27,0.33299999999999996,0.43200000000000005,0.765,2.13,0.0,661.0,2545.0,67%,20%,12%,51%,24%,8%,0.97,0.259,9.0,3.76,R,L,True,19.0
1240,Washington Nationals,1,Cincinnati Reds,26.0,0.0,0.24,0.299,0.35600000000000004,0.655,5.17,2.0,184.0,682.0,61%,14%,11%,46%,30%,9%,1.8259999999999998,0.325,6.1,0.93,L,S,True,3.0
1241,Cincinnati Reds,0,Washington Nationals,26.0,0.0,0.18600000000000003,0.213,0.326,0.539,4.05,0.0,646.0,2494.0,63%,18%,9%,44%,24%,7%,1.265,0.293,7.5,2.65,R,R,False,0.0
1242,Los Angeles Dodgers,1,Houston Astros,31.0,0.0,0.23,0.32,0.41200000000000003,0.732,3.14,0.0,244.0,933.0,67%,17%,17%,52%,22%,2%,1.238,0.34600000000000003,12.9,4.32,R,R,False,9.0
1243,Kansas City Royals,0,Minnesota Twins,26.0,0.0,0.217,0.275,0.349,0.624,8.03,0.0,114.0,429.0,63%,18%,4%,23%,30%,10%,1.6219999999999999,0.282,5.8,1.78,R,R,False,8.0
1244,Kansas City Royals,0,Minnesota Twins,32.0,0.0,0.23199999999999998,0.303,0.386,0.6890000000000001,8.03,0.0,114.0,429.0,63%,18%,4%,23%,30%,10%,1.6219999999999999,0.282,5.8,1.78,R,L,True,23.0
1245,Tampa Bay Rays,1,Chicago White Sox,27.0,0.0,0.294,0.35200000000000004,0.368,0.7190000000000001,4.59,3.0,728.0,2731.0,61%,16%,11%,36%,26%,9%,1.295,0.265,7.0,2.1,R,R,False,7.0
1246,Atlanta Braves,0,New York Mets,29.0,0.0,0.2,0.281,0.37799999999999995,0.659,4.68,0.0,213.0,907.0,67%,17%,10%,30%,29%,8%,1.32,0.312,9.0,3.33,R,R,False,0.0
1247,Washington Nationals,1,Cincinnati Reds,29.0,0.0,0.28800000000000003,0.371,0.389,0.759,5.17,2.0,184.0,682.0,61%,14%,11%,46%,30%,9%,1.8259999999999998,0.325,6.1,0.93,L,L,False,8.0
1248,Cleveland Indians,1,Los Angeles Angels,35.0,0.0,0.23,0.316,0.47100000000000003,0.787,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,R,False,2.0
1249,Cleveland Indians,1,Los Angeles Angels,35.0,0.0,0.23,0.316,0.47100000000000003,0.787,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,R,False,2.0
1250,Cincinnati Reds,0,Washington Nationals,25.0,0.0,0.297,0.35200000000000004,0.469,0.82,4.05,0.0,646.0,2494.0,63%,18%,9%,44%,24%,7%,1.265,0.293,7.5,2.65,R,,True,5.0
1251,Kansas City Royals,0,Minnesota Twins,31.0,1.0,0.21100000000000002,0.263,0.294,0.557,8.03,0.0,114.0,429.0,63%,18%,4%,23%,30%,10%,1.6219999999999999,0.282,5.8,1.78,R,R,False,12.0
1252,Arizona D'Backs,1,San Francisco Giants,29.0,0.0,0.278,0.341,0.507,0.847,2.77,0.0,221.0,807.0,69%,17%,12%,45%,24%,7%,1.084,0.299,8.8,4.5,L,S,True,9.0
1253,St. Louis Cardinals,0,Pittsburgh Pirates,22.0,2.0,0.139,0.162,0.139,0.301,3.44,0.0,563.0,2161.0,63%,17%,7%,41%,28%,7%,1.199,0.255,6.0,2.0,R,R,False,3.0
1254,Los Angeles Angels,0,Cleveland Indians,24.0,0.0,0.276,0.321,0.377,0.698,3.13,0.0,101.0,375.0,65%,24%,14%,52%,19%,2%,1.261,0.306,12.9,2.54,L,R,True,5.0
1255,Los Angeles Angels,0,Cleveland Indians,24.0,0.0,0.276,0.321,0.377,0.698,3.13,0.0,101.0,375.0,65%,24%,14%,52%,19%,2%,1.261,0.306,12.9,2.54,L,R,True,5.0
1256,New York Mets,1,Atlanta Braves,26.0,0.0,0.278,0.331,0.444,0.775,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,R,False,13.0
1257,Minnesota Twins,1,Kansas City Royals,31.0,0.0,0.249,0.312,0.32299999999999995,0.635,3.32,0.0,88.0,369.0,61%,17%,10%,46%,28%,8%,1.246,0.255,8.7,1.62,R,R,False,8.0
1258,Philadelphia Phillies,1,Miami Marlins,25.0,0.0,0.276,0.32,0.48200000000000004,0.8029999999999999,4.35,3.0,471.0,1977.0,63%,17%,11%,33%,30%,11%,1.368,0.268,7.5,1.78,R,R,False,8.0
1259,Pittsburgh Pirates,1,St. Louis Cardinals,26.0,0.0,0.276,0.345,0.43,0.774,3.97,1.0,201.0,883.0,61%,15%,14%,41%,21%,6%,1.456,0.307,10.9,2.62,L,L,False,19.0
1260,New York Mets,1,Atlanta Braves,32.0,0.0,0.233,0.31,0.413,0.723,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,R,False,0.0
1261,Atlanta Braves,0,New York Mets,28.0,0.0,0.316,0.4,0.521,0.9209999999999999,4.68,0.0,213.0,907.0,67%,17%,10%,30%,29%,8%,1.32,0.312,9.0,3.33,R,L,True,3.0
1262,Texas Rangers,1,Baltimore Orioles,24.0,0.0,0.212,0.324,0.508,0.8320000000000001,5.98,0.0,182.0,724.0,64%,12%,18%,46%,31%,6%,1.5490000000000002,0.381,12.8,2.76,L,L,False,7.0
1263,Miami Marlins,0,Philadelphia Phillies,28.0,0.0,0.3,0.382,0.467,0.8490000000000001,2.13,0.0,661.0,2545.0,67%,20%,12%,51%,24%,8%,0.97,0.259,9.0,3.76,R,R,False,5.0
1264,San Diego Padres,0,Chicago Cubs,28.0,0.0,0.239,0.29600000000000004,0.374,0.67,2.8,0.0,149.0,552.0,62%,16%,9%,52%,26%,6%,1.443,0.265,5.9,1.21,L,S,True,18.0
1265,Chicago White Sox,0,Tampa Bay Rays,27.0,0.0,0.23199999999999998,0.262,0.44,0.7020000000000001,3.84,0.0,510.0,1961.0,65%,17%,8%,38%,28%,9%,1.262,0.28,8.0,2.68,L,R,True,37.0
1266,St. Louis Cardinals,0,Pittsburgh Pirates,28.0,4.0,0.22699999999999998,0.314,0.327,0.6409999999999999,3.44,0.0,563.0,2161.0,63%,17%,7%,41%,28%,7%,1.199,0.255,6.0,2.0,R,L,True,10.0
1267,Chicago White Sox,0,Tampa Bay Rays,27.0,4.0,0.28,0.31,0.391,0.701,3.84,0.0,510.0,1961.0,65%,17%,8%,38%,28%,9%,1.262,0.28,8.0,2.68,L,S,True,5.0
1268,New York Yankees,0,Boston Red Sox,34.0,0.0,0.242,0.335,0.36700000000000005,0.7020000000000001,4.15,0.0,74.0,303.0,64%,18%,9%,34%,26%,15%,1.327,0.3,7.8,3.0,R,L,True,8.0
1269,Chicago White Sox,0,Tampa Bay Rays,30.0,19.0,0.5,0.667,0.5,1.167,3.84,0.0,510.0,1961.0,65%,17%,8%,38%,28%,9%,1.262,0.28,8.0,2.68,L,R,True,7.0
1270,Minnesota Twins,1,Kansas City Royals,27.0,0.0,0.26,0.332,0.413,0.746,3.32,0.0,88.0,369.0,61%,17%,10%,46%,28%,8%,1.246,0.255,8.7,1.62,R,R,False,0.0
1271,Houston Astros,0,Los Angeles Dodgers,31.0,3.0,0.23199999999999998,0.29,0.48200000000000004,0.772,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,0.0
1272,Cincinnati Reds,0,Washington Nationals,28.0,0.0,0.31,0.358,0.489,0.847,4.05,0.0,646.0,2494.0,63%,18%,9%,44%,24%,7%,1.265,0.293,7.5,2.65,R,L,True,3.0
1273,Detroit Tigers,0,Oakland Athletics,25.0,1.0,0.095,0.17,0.11900000000000001,0.289,1.6,0.0,240.0,908.0,64%,14%,14%,48%,23%,7%,1.016,0.22899999999999998,9.4,2.5,R,L,True,6.0
1274,Arizona D'Backs,1,San Francisco Giants,30.0,0.0,0.295,0.39899999999999997,0.55,0.9490000000000001,2.77,0.0,221.0,807.0,69%,17%,12%,45%,24%,7%,1.084,0.299,8.8,4.5,L,R,True,11.0
1275,Tampa Bay Rays,1,Chicago White Sox,32.0,0.0,0.218,0.309,0.35,0.659,4.59,3.0,728.0,2731.0,61%,16%,11%,36%,26%,9%,1.295,0.265,7.0,2.1,R,R,False,0.0
1276,Colorado Rockies,0,Milwaukee Brewers,32.0,0.0,0.28600000000000003,0.342,0.48,0.821,2.38,0.0,191.0,791.0,66%,15%,15%,35%,32%,14%,1.147,0.313,11.5,4.46,R,L,True,7.0
1277,Houston Astros,0,Los Angeles Dodgers,29.0,0.0,0.24600000000000002,0.324,0.40700000000000003,0.731,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,S,True,5.0
1278,Detroit Tigers,0,Oakland Athletics,26.0,0.0,0.228,0.301,0.42100000000000004,0.722,1.6,0.0,240.0,908.0,64%,14%,14%,48%,23%,7%,1.016,0.22899999999999998,9.4,2.5,R,S,True,3.0
1279,Kansas City Royals,0,Minnesota Twins,34.0,0.0,0.242,0.32299999999999995,0.35100000000000003,0.674,8.03,0.0,114.0,429.0,63%,18%,4%,23%,30%,10%,1.6219999999999999,0.282,5.8,1.78,R,L,True,12.0
1280,Los Angeles Dodgers,1,Houston Astros,29.0,0.0,0.247,0.354,0.48,0.8340000000000001,3.14,0.0,244.0,933.0,67%,17%,17%,52%,22%,2%,1.238,0.34600000000000003,12.9,4.32,R,S,True,0.0
1281,Toronto Blue Jays,0,Seattle Mariners,37.0,3.0,0.242,0.341,0.431,0.772,3.9,0.0,642.0,2292.0,67%,18%,8%,50%,25%,5%,1.261,0.297,5.6,3.1,R,L,True,3.0
1282,Colorado Rockies,0,Milwaukee Brewers,26.0,2.0,0.068,0.109,0.091,0.2,2.38,0.0,191.0,791.0,66%,15%,15%,35%,32%,14%,1.147,0.313,11.5,4.46,R,R,False,0.0
1283,New York Yankees,0,Boston Red Sox,28.0,5.0,0.27,0.33299999999999996,0.48200000000000004,0.816,4.15,0.0,74.0,303.0,64%,18%,9%,34%,26%,15%,1.327,0.3,7.8,3.0,R,L,True,2.0
1284,Toronto Blue Jays,0,Seattle Mariners,26.0,0.0,0.228,0.287,0.45299999999999996,0.74,3.9,0.0,642.0,2292.0,67%,18%,8%,50%,25%,5%,1.261,0.297,5.6,3.1,R,R,False,0.0
1285,Minnesota Twins,1,Kansas City Royals,28.0,0.0,0.256,0.336,0.363,0.7,3.32,0.0,88.0,369.0,61%,17%,10%,46%,28%,8%,1.246,0.255,8.7,1.62,R,S,True,10.0
1286,Houston Astros,0,Los Angeles Dodgers,34.0,0.0,0.282,0.313,0.406,0.7190000000000001,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,0.0
1287,Cleveland Indians,1,Los Angeles Angels,32.0,1.0,0.191,0.285,0.36200000000000004,0.647,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,R,False,5.0
1288,Cleveland Indians,1,Los Angeles Angels,32.0,1.0,0.191,0.285,0.36200000000000004,0.647,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,R,False,5.0
1289,Texas Rangers,1,Baltimore Orioles,23.0,0.0,0.23600000000000002,0.314,0.419,0.733,5.98,0.0,182.0,724.0,64%,12%,18%,46%,31%,6%,1.5490000000000002,0.381,12.8,2.76,L,L,False,2.0
1290,St. Louis Cardinals,0,Pittsburgh Pirates,29.0,0.0,0.262,0.34299999999999997,0.433,0.7759999999999999,3.44,0.0,563.0,2161.0,63%,17%,7%,41%,28%,7%,1.199,0.255,6.0,2.0,R,R,False,5.0
1291,Cincinnati Reds,0,Washington Nationals,27.0,0.0,0.23600000000000002,0.301,0.318,0.619,4.05,0.0,646.0,2494.0,63%,18%,9%,44%,24%,7%,1.265,0.293,7.5,2.65,R,S,True,0.0
1292,Seattle Mariners,1,Toronto Blue Jays,27.0,0.0,0.28,0.36700000000000005,0.48100000000000004,0.847,7.2,0.0,91.0,371.0,63%,16%,14%,30%,39%,5%,1.8,0.423,10.8,2.4,,R,True,0.0
1293,San Francisco Giants,0,Arizona D'Backs,25.0,0.0,0.272,0.292,0.44799999999999995,0.74,4.91,1.0,350.0,1480.0,62%,18%,12%,39%,27%,8%,1.4380000000000002,0.315,11.6,2.36,L,S,True,0.0
1294,Chicago Cubs,1,San Diego Padres,23.0,0.0,0.23800000000000002,0.359,0.414,0.772,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,S,True,5.0
1295,Washington Nationals,1,Cincinnati Reds,25.0,0.0,0.247,0.377,0.506,0.883,5.17,2.0,184.0,682.0,61%,14%,11%,46%,30%,9%,1.8259999999999998,0.325,6.1,0.93,L,L,False,10.0
1296,Pittsburgh Pirates,1,St. Louis Cardinals,30.0,0.0,0.257,0.298,0.363,0.6609999999999999,3.97,1.0,201.0,883.0,61%,15%,14%,41%,21%,6%,1.456,0.307,10.9,2.62,L,R,True,0.0
1297,Seattle Mariners,1,Toronto Blue Jays,26.0,2.0,0.24600000000000002,0.27699999999999997,0.449,0.726,7.2,0.0,91.0,371.0,63%,16%,14%,30%,39%,5%,1.8,0.423,10.8,2.4,,R,True,8.0
1298,San Diego Padres,0,Chicago Cubs,25.0,0.0,0.23399999999999999,0.29100000000000004,0.413,0.7040000000000001,2.8,0.0,149.0,552.0,62%,16%,9%,52%,26%,6%,1.443,0.265,5.9,1.21,L,R,True,7.0
1299,Seattle Mariners,1,Toronto Blue Jays,27.0,5.0,0.217,0.295,0.308,0.603,7.2,0.0,91.0,371.0,63%,16%,14%,30%,39%,5%,1.8,0.423,10.8,2.4,,R,True,2.0
1300,Philadelphia Phillies,1,Miami Marlins,28.0,0.0,0.261,0.366,0.369,0.735,4.35,3.0,471.0,1977.0,63%,17%,11%,33%,30%,11%,1.368,0.268,7.5,1.78,R,S,True,6.0
1301,Los Angeles Dodgers,1,Houston Astros,26.0,0.0,0.222,0.303,0.43799999999999994,0.741,3.14,0.0,244.0,933.0,67%,17%,17%,52%,22%,2%,1.238,0.34600000000000003,12.9,4.32,R,R,False,5.0
1302,San Francisco Giants,0,Arizona D'Backs,30.0,0.0,0.24600000000000002,0.295,0.409,0.705,4.91,1.0,350.0,1480.0,62%,18%,12%,39%,27%,8%,1.4380000000000002,0.315,11.6,2.36,L,R,True,0.0
1303,Toronto Blue Jays,0,Seattle Mariners,25.0,2.0,0.239,0.298,0.475,0.773,3.9,0.0,642.0,2292.0,67%,18%,8%,50%,25%,5%,1.261,0.297,5.6,3.1,R,R,False,0.0
1304,Philadelphia Phillies,1,Miami Marlins,26.0,0.0,0.266,0.319,0.441,0.76,4.35,3.0,471.0,1977.0,63%,17%,11%,33%,30%,11%,1.368,0.268,7.5,1.78,R,L,True,9.0
1305,Kansas City Royals,0,Minnesota Twins,25.0,1.0,0.23399999999999999,0.27699999999999997,0.312,0.589,8.03,0.0,114.0,429.0,63%,18%,4%,23%,30%,10%,1.6219999999999999,0.282,5.8,1.78,R,S,True,3.0
1306,Seattle Mariners,1,Toronto Blue Jays,30.0,3.0,0.237,0.313,0.424,0.737,7.2,0.0,91.0,371.0,63%,16%,14%,30%,39%,5%,1.8,0.423,10.8,2.4,,L,True,5.0
1307,New York Yankees,0,Boston Red Sox,28.0,0.0,0.245,0.364,0.45799999999999996,0.8220000000000001,4.15,0.0,74.0,303.0,64%,18%,9%,34%,26%,15%,1.327,0.3,7.8,3.0,R,S,True,6.0
1308,Miami Marlins,0,Philadelphia Phillies,30.0,1.0,0.20199999999999999,0.255,0.248,0.503,2.13,0.0,661.0,2545.0,67%,20%,12%,51%,24%,8%,0.97,0.259,9.0,3.76,R,R,False,3.0
1309,San Francisco Giants,0,Arizona D'Backs,31.0,4.0,0.068,0.068,0.091,0.159,4.91,1.0,350.0,1480.0,62%,18%,12%,39%,27%,8%,1.4380000000000002,0.315,11.6,2.36,L,S,True,0.0
1310,Boston Red Sox,1,New York Yankees,30.0,1.0,0.265,0.34700000000000003,0.364,0.71,3.9,1.0,483.0,1846.0,66%,17%,14%,48%,21%,6%,1.1079999999999999,0.265,9.1,4.03,R,L,True,0.0
1311,Philadelphia Phillies,1,Miami Marlins,25.0,0.0,0.252,0.361,0.49200000000000005,0.853,4.35,3.0,471.0,1977.0,63%,17%,11%,33%,30%,11%,1.368,0.268,7.5,1.78,R,R,False,0.0
1312,San Diego Padres,0,Chicago Cubs,28.0,0.0,0.255,0.319,0.396,0.7140000000000001,2.8,0.0,149.0,552.0,62%,16%,9%,52%,26%,6%,1.443,0.265,5.9,1.21,L,L,False,20.0
1313,San Francisco Giants,0,Arizona D'Backs,34.0,1.0,0.23800000000000002,0.29,0.435,0.725,4.91,1.0,350.0,1480.0,62%,18%,12%,39%,27%,8%,1.4380000000000002,0.315,11.6,2.36,L,R,True,7.0
1314,Detroit Tigers,0,Oakland Athletics,28.0,0.0,0.266,0.309,0.387,0.696,1.6,0.0,240.0,908.0,64%,14%,14%,48%,23%,7%,1.016,0.22899999999999998,9.4,2.5,R,R,False,0.0
1315,Atlanta Braves,0,New York Mets,27.0,0.0,0.25,0.307,0.35700000000000004,0.665,4.68,0.0,213.0,907.0,67%,17%,10%,30%,29%,8%,1.32,0.312,9.0,3.33,R,L,True,24.0
1316,New York Mets,1,Atlanta Braves,31.0,0.0,0.27399999999999997,0.33,0.363,0.693,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,R,False,16.0
1317,San Diego Padres,0,Chicago Cubs,27.0,1.0,0.257,0.33399999999999996,0.32899999999999996,0.6629999999999999,2.8,0.0,149.0,552.0,62%,16%,9%,52%,26%,6%,1.443,0.265,5.9,1.21,L,L,False,16.0
1318,Arizona D'Backs,1,San Francisco Giants,33.0,0.0,0.27899999999999997,0.34299999999999997,0.36,0.7020000000000001,2.77,0.0,221.0,807.0,69%,17%,12%,45%,24%,7%,1.084,0.299,8.8,4.5,L,L,False,0.0
1319,Los Angeles Dodgers,1,Houston Astros,33.0,0.0,0.282,0.335,0.47,0.804,3.14,0.0,244.0,933.0,67%,17%,17%,52%,22%,2%,1.238,0.34600000000000003,12.9,4.32,R,R,False,0.0
1320,Houston Astros,0,Los Angeles Dodgers,26.0,0.0,0.284,0.369,0.423,0.792,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,L,True,14.0
1321,Minnesota Twins,1,Kansas City Royals,25.0,0.0,0.233,0.32299999999999995,0.43799999999999994,0.7609999999999999,3.32,0.0,88.0,369.0,61%,17%,10%,46%,28%,8%,1.246,0.255,8.7,1.62,R,L,True,12.0
1322,Tampa Bay Rays,1,Chicago White Sox,28.0,0.0,0.193,0.256,0.307,0.563,4.59,3.0,728.0,2731.0,61%,16%,11%,36%,26%,9%,1.295,0.265,7.0,2.1,R,L,True,9.0
1323,Cleveland Indians,1,Los Angeles Angels,31.0,0.0,0.218,0.307,0.34700000000000003,0.654,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,L,True,9.0
1324,Cleveland Indians,1,Los Angeles Angels,31.0,0.0,0.218,0.307,0.34700000000000003,0.654,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,L,True,9.0
1325,Philadelphia Phillies,1,Miami Marlins,26.0,12.0,0.217,0.31,0.354,0.664,4.35,3.0,471.0,1977.0,63%,17%,11%,33%,30%,11%,1.368,0.268,7.5,1.78,R,S,True,0.0
1326,Milwaukee Brewers,1,Colorado Rockies,38.0,0.0,0.261,0.295,0.377,0.6709999999999999,1.59,0.0,241.0,985.0,64%,25%,13%,46%,25%,8%,0.914,0.248,13.1,3.64,R,R,False,2.0
1327,Oakland Athletics,1,Detroit Tigers,23.0,0.0,0.295,0.311,0.5,0.8109999999999999,6.07,0.0,140.0,578.0,62%,16%,12%,39%,29%,9%,1.7530000000000001,0.35600000000000004,9.1,1.88,L,R,True,18.0
1328,Colorado Rockies,0,Milwaukee Brewers,29.0,0.0,0.27399999999999997,0.319,0.424,0.743,2.38,0.0,191.0,791.0,66%,15%,15%,35%,32%,14%,1.147,0.313,11.5,4.46,R,R,False,14.0
1329,Boston Red Sox,1,New York Yankees,29.0,1.0,0.205,0.257,0.32299999999999995,0.58,3.9,1.0,483.0,1846.0,66%,17%,14%,48%,21%,6%,1.1079999999999999,0.265,9.1,4.03,R,S,True,9.0
1330,Chicago Cubs,1,San Diego Padres,34.0,8.0,0.102,0.102,0.163,0.265,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,L,True,0.0
1331,Cleveland Indians,1,Los Angeles Angels,24.0,0.0,0.28800000000000003,0.366,0.537,0.903,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,S,True,10.0
1332,Cleveland Indians,1,Los Angeles Angels,24.0,0.0,0.28800000000000003,0.366,0.537,0.903,3.18,0.0,228.0,936.0,63%,17%,11%,34%,28%,11%,1.147,0.27,9.7,3.39,R,S,True,10.0
1333,San Francisco Giants,0,Arizona D'Backs,32.0,0.0,0.249,0.285,0.429,0.7140000000000001,4.91,1.0,350.0,1480.0,62%,18%,12%,39%,27%,8%,1.4380000000000002,0.315,11.6,2.36,L,R,True,26.0
1334,Tampa Bay Rays,1,Chicago White Sox,23.0,0.0,0.179,0.304,0.205,0.509,4.59,3.0,728.0,2731.0,61%,16%,11%,36%,26%,9%,1.295,0.265,7.0,2.1,R,L,True,2.0
1335,Oakland Athletics,1,Detroit Tigers,34.0,0.0,0.273,0.35600000000000004,0.47100000000000003,0.826,6.07,0.0,140.0,578.0,62%,16%,12%,39%,29%,9%,1.7530000000000001,0.35600000000000004,9.1,1.88,L,S,True,0.0
1336,San Diego Padres,0,Chicago Cubs,25.0,1.0,0.07400000000000001,0.19399999999999998,0.07400000000000001,0.268,2.8,0.0,149.0,552.0,62%,16%,9%,52%,26%,6%,1.443,0.265,5.9,1.21,L,L,False,4.0
1337,Pittsburgh Pirates,1,St. Louis Cardinals,24.0,4.0,0.174,0.255,0.348,0.603,3.97,1.0,201.0,883.0,61%,15%,14%,41%,21%,6%,1.456,0.307,10.9,2.62,L,R,True,0.0
1338,Los Angeles Dodgers,1,Houston Astros,25.0,0.0,0.301,0.37799999999999995,0.5379999999999999,0.9159999999999999,3.14,0.0,244.0,933.0,67%,17%,17%,52%,22%,2%,1.238,0.34600000000000003,12.9,4.32,R,R,False,15.0
1339,Toronto Blue Jays,0,Seattle Mariners,27.0,3.0,0.231,0.314,0.34600000000000003,0.66,3.9,0.0,642.0,2292.0,67%,18%,8%,50%,25%,5%,1.261,0.297,5.6,3.1,R,R,False,5.0
1340,Baltimore Orioles,0,Texas Rangers,26.0,0.0,0.233,0.298,0.382,0.6809999999999999,3.07,0.0,65.0,264.0,59%,16%,10%,39%,29%,10%,1.568,0.289,8.6,1.56,L,R,True,4.0
1341,San Diego Padres,0,Chicago Cubs,23.0,0.0,0.244,0.29,0.37200000000000005,0.662,2.8,0.0,149.0,552.0,62%,16%,9%,52%,26%,6%,1.443,0.265,5.9,1.21,L,R,True,8.0
