,away,home,date
2,St. Louis Cardinals,Cincinnati Reds,2018-07-25
3,Pittsburgh Pirates,Cleveland Indians,2018-07-25
4,Houston Astros,Colorado Rockies,2018-07-25
5,Detroit Tigers,Kansas City Royals,2018-07-25
6,Washington Nationals,Milwaukee Brewers,2018-07-25
7,San Diego Padres,New York Mets,2018-07-25
8,Los Angeles Dodgers,Philadelphia Phillies,2018-07-25
9,San Francisco Giants,Seattle Mariners,2018-07-25
10,New York Yankees,Tampa Bay Rays,2018-07-25
11,Oakland Athletics,Texas Rangers,2018-07-25
12,Minnesota Twins,Toronto Blue Jays,2018-07-25
0,Chicago White Sox,Los Angeles Angels,2018-07-26
1,Los Angeles Dodgers,Atlanta Braves,2018-07-26
2,Tampa Bay Rays,Baltimore Orioles,2018-07-26
3,Minnesota Twins,Boston Red Sox,2018-07-26
4,Arizona D'Backs,Chicago Cubs,2018-07-26
5,Philadelphia Phillies,Cincinnati Reds,2018-07-26
6,Washington Nationals,Miami Marlins,2018-07-26
7,Kansas City Royals,New York Yankees,2018-07-26
8,New York Mets,Pittsburgh Pirates,2018-07-26
9,Milwaukee Brewers,San Francisco Giants,2018-07-26
10,Oakland Athletics,Texas Rangers,2018-07-26
0,Seattle Mariners,Los Angeles Angels,2018-07-27
1,Los Angeles Dodgers,Atlanta Braves,2018-07-27
2,Tampa Bay Rays,Baltimore Orioles,2018-07-27
3,Minnesota Twins,Boston Red Sox,2018-07-27
4,Toronto Blue Jays,Chicago White Sox,2018-07-27
5,Philadelphia Phillies,Cincinnati Reds,2018-07-27
6,Oakland Athletics,Colorado Rockies,2018-07-27
7,Cleveland Indians,Detroit Tigers,2018-07-27
8,Texas Rangers,Houston Astros,2018-07-27
9,Washington Nationals,Miami Marlins,2018-07-27
10,New York Mets,Pittsburgh Pirates,2018-07-27
11,Arizona D'Backs,San Diego Padres,2018-07-27
12,Milwaukee Brewers,San Francisco Giants,2018-07-27
13,Chicago Cubs,St. Louis Cardinals,2018-07-27
0,Seattle Mariners,Los Angeles Angels,2018-07-28
1,Los Angeles Dodgers,Atlanta Braves,2018-07-28
2,Tampa Bay Rays,Baltimore Orioles,2018-07-28
3,Minnesota Twins,Boston Red Sox,2018-07-28
4,Toronto Blue Jays,Chicago White Sox,2018-07-28
5,Philadelphia Phillies,Cincinnati Reds,2018-07-28
6,Oakland Athletics,Colorado Rockies,2018-07-28
7,Cleveland Indians,Detroit Tigers,2018-07-28
8,Texas Rangers,Houston Astros,2018-07-28
9,Washington Nationals,Miami Marlins,2018-07-28
10,Kansas City Royals,New York Yankees,2018-07-28
11,Kansas City Royals,New York Yankees,2018-07-28
12,New York Mets,Pittsburgh Pirates,2018-07-28
13,Arizona D'Backs,San Diego Padres,2018-07-28
14,Milwaukee Brewers,San Francisco Giants,2018-07-28
15,Chicago Cubs,St. Louis Cardinals,2018-07-28
0,Seattle Mariners,Los Angeles Angels,2018-07-29
1,Los Angeles Dodgers,Atlanta Braves,2018-07-29
2,Tampa Bay Rays,Baltimore Orioles,2018-07-29
3,Minnesota Twins,Boston Red Sox,2018-07-29
4,Toronto Blue Jays,Chicago White Sox,2018-07-29
5,Philadelphia Phillies,Cincinnati Reds,2018-07-29
6,Oakland Athletics,Colorado Rockies,2018-07-29
7,Cleveland Indians,Detroit Tigers,2018-07-29
8,Texas Rangers,Houston Astros,2018-07-29
9,Washington Nationals,Miami Marlins,2018-07-29
10,Kansas City Royals,New York Yankees,2018-07-29
11,New York Mets,Pittsburgh Pirates,2018-07-29
12,Arizona D'Backs,San Diego Padres,2018-07-29
13,Milwaukee Brewers,San Francisco Giants,2018-07-29
14,Chicago Cubs,St. Louis Cardinals,2018-07-29
0,Texas Rangers,Arizona D'Backs,2018-07-30
1,Miami Marlins,Atlanta Braves,2018-07-30
2,Philadelphia Phillies,Boston Red Sox,2018-07-30
3,Milwaukee Brewers,Los Angeles Dodgers,2018-07-30
4,Cleveland Indians,Minnesota Twins,2018-07-30
5,Toronto Blue Jays,Oakland Athletics,2018-07-30
6,San Francisco Giants,San Diego Padres,2018-07-30
7,Houston Astros,Seattle Mariners,2018-07-30
8,Colorado Rockies,St. Louis Cardinals,2018-07-30
0,Texas Rangers,Arizona D'Backs,2018-07-31
1,Miami Marlins,Atlanta Braves,2018-07-31
2,Philadelphia Phillies,Boston Red Sox,2018-07-31
3,Kansas City Royals,Chicago White Sox,2018-07-31
4,Cincinnati Reds,Detroit Tigers,2018-07-31
5,Milwaukee Brewers,Los Angeles Dodgers,2018-07-31
6,Cleveland Indians,Minnesota Twins,2018-07-31
7,Baltimore Orioles,New York Yankees,2018-07-31
8,Toronto Blue Jays,Oakland Athletics,2018-07-31
9,Chicago Cubs,Pittsburgh Pirates,2018-07-31
10,San Francisco Giants,San Diego Padres,2018-07-31
11,Houston Astros,Seattle Mariners,2018-07-31
12,Colorado Rockies,St. Louis Cardinals,2018-07-31
13,Los Angeles Angels,Tampa Bay Rays,2018-07-31
14,New York Mets,Washington Nationals,2018-07-31
0,Kansas City Royals,Chicago White Sox,2018-08-01
1,Cincinnati Reds,Detroit Tigers,2018-08-01
2,Milwaukee Brewers,Los Angeles Dodgers,2018-08-01
3,Cleveland Indians,Minnesota Twins,2018-08-01
4,Baltimore Orioles,New York Yankees,2018-08-01
5,Toronto Blue Jays,Oakland Athletics,2018-08-01
6,Chicago Cubs,Pittsburgh Pirates,2018-08-01
7,Houston Astros,Seattle Mariners,2018-08-01
8,Colorado Rockies,St. Louis Cardinals,2018-08-01
9,Los Angeles Angels,Tampa Bay Rays,2018-08-01
10,New York Mets,Washington Nationals,2018-08-01
0,San Francisco Giants,Arizona D'Backs,2018-08-02
1,New York Yankees,Boston Red Sox,2018-08-02
2,Kansas City Royals,Chicago White Sox,2018-08-02
3,San Diego Padres,Chicago Cubs,2018-08-02
4,Milwaukee Brewers,Los Angeles Dodgers,2018-08-02
5,Atlanta Braves,New York Mets,2018-08-02
6,Miami Marlins,Philadelphia Phillies,2018-08-02
7,Toronto Blue Jays,Seattle Mariners,2018-08-02
8,Colorado Rockies,St. Louis Cardinals,2018-08-02
9,Los Angeles Angels,Tampa Bay Rays,2018-08-02
10,Baltimore Orioles,Texas Rangers,2018-08-02
11,Cincinnati Reds,Washington Nationals,2018-08-02
0,San Francisco Giants,Arizona D'Backs,2018-08-03
1,New York Yankees,Boston Red Sox,2018-08-03
2,San Diego Padres,Chicago Cubs,2018-08-03
3,Los Angeles Angels,Cleveland Indians,2018-08-03
4,Houston Astros,Los Angeles Dodgers,2018-08-03
5,Colorado Rockies,Milwaukee Brewers,2018-08-03
6,Kansas City Royals,Minnesota Twins,2018-08-03
7,Atlanta Braves,New York Mets,2018-08-03
8,Detroit Tigers,Oakland Athletics,2018-08-03
9,Miami Marlins,Philadelphia Phillies,2018-08-03
10,St. Louis Cardinals,Pittsburgh Pirates,2018-08-03
11,Toronto Blue Jays,Seattle Mariners,2018-08-03
12,Chicago White Sox,Tampa Bay Rays,2018-08-03
13,Baltimore Orioles,Texas Rangers,2018-08-03
0,San Francisco Giants,Arizona D'Backs,2018-08-04
1,New York Yankees,Boston Red Sox,2018-08-04
2,San Diego Padres,Chicago Cubs,2018-08-04
3,Los Angeles Angels,Cleveland Indians,2018-08-04
4,Houston Astros,Los Angeles Dodgers,2018-08-04
5,Colorado Rockies,Milwaukee Brewers,2018-08-04
6,Kansas City Royals,Minnesota Twins,2018-08-04
7,Atlanta Braves,New York Mets,2018-08-04
8,Detroit Tigers,Oakland Athletics,2018-08-04
9,Miami Marlins,Philadelphia Phillies,2018-08-04
10,St. Louis Cardinals,Pittsburgh Pirates,2018-08-04
11,Toronto Blue Jays,Seattle Mariners,2018-08-04
12,Chicago White Sox,Tampa Bay Rays,2018-08-04
13,Baltimore Orioles,Texas Rangers,2018-08-04
14,Cincinnati Reds,Washington Nationals,2018-08-04
15,Cincinnati Reds,Washington Nationals,2018-08-04
0,San Francisco Giants,Arizona D'Backs,2018-08-05
1,New York Yankees,Boston Red Sox,2018-08-05
2,San Diego Padres,Chicago Cubs,2018-08-05
3,Los Angeles Angels,Cleveland Indians,2018-08-05
4,Houston Astros,Los Angeles Dodgers,2018-08-05
5,Colorado Rockies,Milwaukee Brewers,2018-08-05
6,Kansas City Royals,Minnesota Twins,2018-08-05
7,Atlanta Braves,New York Mets,2018-08-05
8,Detroit Tigers,Oakland Athletics,2018-08-05
9,Miami Marlins,Philadelphia Phillies,2018-08-05
10,St. Louis Cardinals,Pittsburgh Pirates,2018-08-05
11,Toronto Blue Jays,Seattle Mariners,2018-08-05
12,Chicago White Sox,Tampa Bay Rays,2018-08-05
13,Baltimore Orioles,Texas Rangers,2018-08-05
14,Cincinnati Reds,Washington Nationals,2018-08-05
0,Detroit Tigers,Los Angeles Angels,2018-08-06
1,Philadelphia Phillies,Arizona D'Backs,2018-08-06
2,New York Yankees,Chicago White Sox,2018-08-06
3,Minnesota Twins,Cleveland Indians,2018-08-06
4,Pittsburgh Pirates,Colorado Rockies,2018-08-06
5,Chicago Cubs,Kansas City Royals,2018-08-06
6,St. Louis Cardinals,Miami Marlins,2018-08-06
7,Cincinnati Reds,New York Mets,2018-08-06
8,Houston Astros,San Francisco Giants,2018-08-06
9,Seattle Mariners,Texas Rangers,2018-08-06
0,Detroit Tigers,Los Angeles Angels,2018-08-07
1,Philadelphia Phillies,Arizona D'Backs,2018-08-07
2,New York Yankees,Chicago White Sox,2018-08-07
3,Minnesota Twins,Cleveland Indians,2018-08-07
4,Pittsburgh Pirates,Colorado Rockies,2018-08-07
5,Chicago Cubs,Kansas City Royals,2018-08-07
6,St. Louis Cardinals,Miami Marlins,2018-08-07
7,San Diego Padres,Milwaukee Brewers,2018-08-07
8,Cincinnati Reds,New York Mets,2018-08-07
9,Los Angeles Dodgers,Oakland Athletics,2018-08-07
10,Houston Astros,San Francisco Giants,2018-08-07
11,Baltimore Orioles,Tampa Bay Rays,2018-08-07
12,Seattle Mariners,Texas Rangers,2018-08-07
13,Boston Red Sox,Toronto Blue Jays,2018-08-07
14,Atlanta Braves,Washington Nationals,2018-08-07
15,Atlanta Braves,Washington Nationals,2018-08-07
0,Detroit Tigers,Los Angeles Angels,2018-08-08
1,Philadelphia Phillies,Arizona D'Backs,2018-08-08
2,New York Yankees,Chicago White Sox,2018-08-08
3,Minnesota Twins,Cleveland Indians,2018-08-08
4,Pittsburgh Pirates,Colorado Rockies,2018-08-08
5,Chicago Cubs,Kansas City Royals,2018-08-08
6,St. Louis Cardinals,Miami Marlins,2018-08-08
7,San Diego Padres,Milwaukee Brewers,2018-08-08
8,Cincinnati Reds,New York Mets,2018-08-08
9,Los Angeles Dodgers,Oakland Athletics,2018-08-08
10,Baltimore Orioles,Tampa Bay Rays,2018-08-08
11,Seattle Mariners,Texas Rangers,2018-08-08
12,Boston Red Sox,Toronto Blue Jays,2018-08-08
13,Atlanta Braves,Washington Nationals,2018-08-08
0,Minnesota Twins,Cleveland Indians,2018-08-09
1,Los Angeles Dodgers,Colorado Rockies,2018-08-09
2,Seattle Mariners,Houston Astros,2018-08-09
3,San Diego Padres,Milwaukee Brewers,2018-08-09
4,Texas Rangers,New York Yankees,2018-08-09
5,Pittsburgh Pirates,San Francisco Giants,2018-08-09
6,Baltimore Orioles,Tampa Bay Rays,2018-08-09
7,Boston Red Sox,Toronto Blue Jays,2018-08-09
8,Atlanta Braves,Washington Nationals,2018-08-09
0,Oakland Athletics,Los Angeles Angels,2018-08-10
1,Milwaukee Brewers,Atlanta Braves,2018-08-10
2,Boston Red Sox,Baltimore Orioles,2018-08-10
3,Cleveland Indians,Chicago White Sox,2018-08-10
4,Washington Nationals,Chicago Cubs,2018-08-10
5,Arizona D'Backs,Cincinnati Reds,2018-08-10
6,Los Angeles Dodgers,Colorado Rockies,2018-08-10
7,Minnesota Twins,Detroit Tigers,2018-08-10
8,Seattle Mariners,Houston Astros,2018-08-10
9,St. Louis Cardinals,Kansas City Royals,2018-08-10
10,New York Mets,Miami Marlins,2018-08-10
11,Texas Rangers,New York Yankees,2018-08-10
12,Philadelphia Phillies,San Diego Padres,2018-08-10
13,Pittsburgh Pirates,San Francisco Giants,2018-08-10
14,Tampa Bay Rays,Toronto Blue Jays,2018-08-10
0,Oakland Athletics,Los Angeles Angels,2018-08-11
1,Milwaukee Brewers,Atlanta Braves,2018-08-11
2,Boston Red Sox,Baltimore Orioles,2018-08-11
3,Boston Red Sox,Baltimore Orioles,2018-08-11
4,Cleveland Indians,Chicago White Sox,2018-08-11
5,Washington Nationals,Chicago Cubs,2018-08-11
6,Arizona D'Backs,Cincinnati Reds,2018-08-11
7,Los Angeles Dodgers,Colorado Rockies,2018-08-11
8,Minnesota Twins,Detroit Tigers,2018-08-11
9,Seattle Mariners,Houston Astros,2018-08-11
10,St. Louis Cardinals,Kansas City Royals,2018-08-11
11,New York Mets,Miami Marlins,2018-08-11
12,Texas Rangers,New York Yankees,2018-08-11
13,Philadelphia Phillies,San Diego Padres,2018-08-11
14,Pittsburgh Pirates,San Francisco Giants,2018-08-11
15,Tampa Bay Rays,Toronto Blue Jays,2018-08-11
0,Oakland Athletics,Los Angeles Angels,2018-08-12
1,Milwaukee Brewers,Atlanta Braves,2018-08-12
2,Boston Red Sox,Baltimore Orioles,2018-08-12
3,Cleveland Indians,Chicago White Sox,2018-08-12
4,Washington Nationals,Chicago Cubs,2018-08-12
5,Arizona D'Backs,Cincinnati Reds,2018-08-12
6,Los Angeles Dodgers,Colorado Rockies,2018-08-12
7,Minnesota Twins,Detroit Tigers,2018-08-12
8,Seattle Mariners,Houston Astros,2018-08-12
9,St. Louis Cardinals,Kansas City Royals,2018-08-12
10,New York Mets,Miami Marlins,2018-08-12
11,Texas Rangers,New York Yankees,2018-08-12
12,Philadelphia Phillies,San Diego Padres,2018-08-12
13,Pittsburgh Pirates,San Francisco Giants,2018-08-12
14,Tampa Bay Rays,Toronto Blue Jays,2018-08-12
0,Miami Marlins,Atlanta Braves,2018-08-13
1,Miami Marlins,Atlanta Braves,2018-08-13
2,Cleveland Indians,Cincinnati Reds,2018-08-13
3,Chicago White Sox,Detroit Tigers,2018-08-13
4,Toronto Blue Jays,Kansas City Royals,2018-08-13
5,San Francisco Giants,Los Angeles Dodgers,2018-08-13
6,New York Mets,New York Yankees,2018-08-13
7,Seattle Mariners,Oakland Athletics,2018-08-13
8,Los Angeles Angels,San Diego Padres,2018-08-13
9,Washington Nationals,St. Louis Cardinals,2018-08-13
10,Arizona D'Backs,Texas Rangers,2018-08-13
0,Miami Marlins,Atlanta Braves,2018-08-14
1,New York Mets,Baltimore Orioles,2018-08-14
2,Milwaukee Brewers,Chicago Cubs,2018-08-14
3,Cleveland Indians,Cincinnati Reds,2018-08-14
4,Chicago White Sox,Detroit Tigers,2018-08-14
5,Colorado Rockies,Houston Astros,2018-08-14
6,Toronto Blue Jays,Kansas City Royals,2018-08-14
7,San Francisco Giants,Los Angeles Dodgers,2018-08-14
8,Pittsburgh Pirates,Minnesota Twins,2018-08-14
9,Tampa Bay Rays,New York Yankees,2018-08-14
10,Seattle Mariners,Oakland Athletics,2018-08-14
11,Boston Red Sox,Philadelphia Phillies,2018-08-14
12,Los Angeles Angels,San Diego Padres,2018-08-14
13,Washington Nationals,St. Louis Cardinals,2018-08-14
14,Arizona D'Backs,Texas Rangers,2018-08-14
0,Miami Marlins,Atlanta Braves,2018-08-15
1,New York Mets,Baltimore Orioles,2018-08-15
2,Milwaukee Brewers,Chicago Cubs,2018-08-15
3,Cleveland Indians,Cincinnati Reds,2018-08-15
4,Chicago White Sox,Detroit Tigers,2018-08-15
5,Colorado Rockies,Houston Astros,2018-08-15
6,Toronto Blue Jays,Kansas City Royals,2018-08-15
7,San Francisco Giants,Los Angeles Dodgers,2018-08-15
8,Pittsburgh Pirates,Minnesota Twins,2018-08-15
9,Tampa Bay Rays,New York Yankees,2018-08-15
10,Seattle Mariners,Oakland Athletics,2018-08-15
11,Boston Red Sox,Philadelphia Phillies,2018-08-15
12,Los Angeles Angels,San Diego Padres,2018-08-15
13,Washington Nationals,St. Louis Cardinals,2018-08-15
0,Colorado Rockies,Atlanta Braves,2018-08-16
1,Toronto Blue Jays,Kansas City Royals,2018-08-16
2,Detroit Tigers,Minnesota Twins,2018-08-16
3,Tampa Bay Rays,New York Yankees,2018-08-16
4,New York Mets,Philadelphia Phillies,2018-08-16
5,New York Mets,Philadelphia Phillies,2018-08-16
6,Chicago Cubs,Pittsburgh Pirates,2018-08-16
7,Arizona D'Backs,San Diego Padres,2018-08-16
8,Washington Nationals,St. Louis Cardinals,2018-08-16
9,Los Angeles Angels,Texas Rangers,2018-08-16
0,Colorado Rockies,Atlanta Braves,2018-08-17
1,Tampa Bay Rays,Boston Red Sox,2018-08-17
2,Kansas City Royals,Chicago White Sox,2018-08-17
3,San Francisco Giants,Cincinnati Reds,2018-08-17
4,Baltimore Orioles,Cleveland Indians,2018-08-17
5,Detroit Tigers,Minnesota Twins,2018-08-17
6,Toronto Blue Jays,New York Yankees,2018-08-17
7,Houston Astros,Oakland Athletics,2018-08-17
8,New York Mets,Philadelphia Phillies,2018-08-17
9,Chicago Cubs,Pittsburgh Pirates,2018-08-17
10,Arizona D'Backs,San Diego Padres,2018-08-17
11,Los Angeles Dodgers,Seattle Mariners,2018-08-17
12,Milwaukee Brewers,St. Louis Cardinals,2018-08-17
13,Los Angeles Angels,Texas Rangers,2018-08-17
14,Miami Marlins,Washington Nationals,2018-08-17
0,Colorado Rockies,Atlanta Braves,2018-08-18
1,Tampa Bay Rays,Boston Red Sox,2018-08-18
2,Kansas City Royals,Chicago White Sox,2018-08-18
3,San Francisco Giants,Cincinnati Reds,2018-08-18
4,Baltimore Orioles,Cleveland Indians,2018-08-18
5,Detroit Tigers,Minnesota Twins,2018-08-18
6,Toronto Blue Jays,New York Yankees,2018-08-18
7,Houston Astros,Oakland Athletics,2018-08-18
8,New York Mets,Philadelphia Phillies,2018-08-18
9,Chicago Cubs,Pittsburgh Pirates,2018-08-18
10,Arizona D'Backs,San Diego Padres,2018-08-18
11,Los Angeles Dodgers,Seattle Mariners,2018-08-18
12,Milwaukee Brewers,St. Louis Cardinals,2018-08-18
13,Los Angeles Angels,Texas Rangers,2018-08-18
14,Miami Marlins,Washington Nationals,2018-08-18
0,Colorado Rockies,Atlanta Braves,2018-08-19
1,Tampa Bay Rays,Boston Red Sox,2018-08-19
2,Kansas City Royals,Chicago White Sox,2018-08-19
3,San Francisco Giants,Cincinnati Reds,2018-08-19
4,Baltimore Orioles,Cleveland Indians,2018-08-19
5,Detroit Tigers,Minnesota Twins,2018-08-19
6,Toronto Blue Jays,New York Yankees,2018-08-19
7,Houston Astros,Oakland Athletics,2018-08-19
8,New York Mets,Philadelphia Phillies,2018-08-19
9,Chicago Cubs,Pittsburgh Pirates,2018-08-19
10,Arizona D'Backs,San Diego Padres,2018-08-19
11,Los Angeles Dodgers,Seattle Mariners,2018-08-19
12,Milwaukee Brewers,St. Louis Cardinals,2018-08-19
13,Los Angeles Angels,Texas Rangers,2018-08-19
14,Miami Marlins,Washington Nationals,2018-08-19
0,Cleveland Indians,Boston Red Sox,2018-08-20
1,St. Louis Cardinals,Los Angeles Dodgers,2018-08-20
2,Cincinnati Reds,Milwaukee Brewers,2018-08-20
3,Chicago White Sox,Minnesota Twins,2018-08-20
4,San Francisco Giants,New York Mets,2018-08-20
5,Texas Rangers,Oakland Athletics,2018-08-20
6,Atlanta Braves,Pittsburgh Pirates,2018-08-20
7,Houston Astros,Seattle Mariners,2018-08-20
8,Kansas City Royals,Tampa Bay Rays,2018-08-20
9,Baltimore Orioles,Toronto Blue Jays,2018-08-20
0,Los Angeles Angels,Arizona D'Backs,2018-08-21
1,Cleveland Indians,Boston Red Sox,2018-08-21
2,Minnesota Twins,Chicago White Sox,2018-08-21
3,San Diego Padres,Colorado Rockies,2018-08-21
4,Chicago Cubs,Detroit Tigers,2018-08-21
5,St. Louis Cardinals,Los Angeles Dodgers,2018-08-21
6,New York Yankees,Miami Marlins,2018-08-21
7,Cincinnati Reds,Milwaukee Brewers,2018-08-21
8,San Francisco Giants,New York Mets,2018-08-21
9,Texas Rangers,Oakland Athletics,2018-08-21
10,Atlanta Braves,Pittsburgh Pirates,2018-08-21
11,Houston Astros,Seattle Mariners,2018-08-21
12,Kansas City Royals,Tampa Bay Rays,2018-08-21
13,Baltimore Orioles,Toronto Blue Jays,2018-08-21
14,Philadelphia Phillies,Washington Nationals,2018-08-21
0,Los Angeles Angels,Arizona D'Backs,2018-08-22
1,Cleveland Indians,Boston Red Sox,2018-08-22
2,Minnesota Twins,Chicago White Sox,2018-08-22
3,San Diego Padres,Colorado Rockies,2018-08-22
4,Chicago Cubs,Detroit Tigers,2018-08-22
5,St. Louis Cardinals,Los Angeles Dodgers,2018-08-22
6,New York Yankees,Miami Marlins,2018-08-22
7,Cincinnati Reds,Milwaukee Brewers,2018-08-22
8,San Francisco Giants,New York Mets,2018-08-22
9,Texas Rangers,Oakland Athletics,2018-08-22
10,Atlanta Braves,Pittsburgh Pirates,2018-08-22
11,Houston Astros,Seattle Mariners,2018-08-22
12,Kansas City Royals,Tampa Bay Rays,2018-08-22
13,Baltimore Orioles,Toronto Blue Jays,2018-08-22
14,Philadelphia Phillies,Washington Nationals,2018-08-22
0,Cleveland Indians,Boston Red Sox,2018-08-23
1,Cincinnati Reds,Chicago Cubs,2018-08-23
2,San Diego Padres,Colorado Rockies,2018-08-23
3,Chicago White Sox,Detroit Tigers,2018-08-23
4,Atlanta Braves,Miami Marlins,2018-08-23
5,Oakland Athletics,Minnesota Twins,2018-08-23
6,San Francisco Giants,New York Mets,2018-08-23
7,Kansas City Royals,Tampa Bay Rays,2018-08-23
8,Philadelphia Phillies,Washington Nationals,2018-08-23
0,Houston Astros,Los Angeles Angels,2018-08-24
1,Seattle Mariners,Arizona D'Backs,2018-08-24
2,New York Yankees,Baltimore Orioles,2018-08-24
3,Cincinnati Reds,Chicago Cubs,2018-08-24
4,St. Louis Cardinals,Colorado Rockies,2018-08-24
5,Chicago White Sox,Detroit Tigers,2018-08-24
6,Cleveland Indians,Kansas City Royals,2018-08-24
7,San Diego Padres,Los Angeles Dodgers,2018-08-24
8,Atlanta Braves,Miami Marlins,2018-08-24
9,Pittsburgh Pirates,Milwaukee Brewers,2018-08-24
10,Oakland Athletics,Minnesota Twins,2018-08-24
11,Washington Nationals,New York Mets,2018-08-24
12,Texas Rangers,San Francisco Giants,2018-08-24
13,Boston Red Sox,Tampa Bay Rays,2018-08-24
14,Philadelphia Phillies,Toronto Blue Jays,2018-08-24
