,away,home,date
0,Baltimore Orioles,Los Angeles Angels,2018-05-01
1,Los Angeles Dodgers,Arizona D'Backs,2018-05-01
2,Kansas City Royals,Boston Red Sox,2018-05-01
3,Colorado Rockies,Chicago Cubs,2018-05-01
4,Milwaukee Brewers,Cincinnati Reds,2018-05-01
5,Texas Rangers,Cleveland Indians,2018-05-01
6,Tampa Bay Rays,Detroit Tigers,2018-05-01
7,New York Yankees,Houston Astros,2018-05-01
8,Philadelphia Phillies,Miami Marlins,2018-05-01
9,Toronto Blue Jays,Minnesota Twins,2018-05-01
10,Atlanta Braves,New York Mets,2018-05-01
11,Oakland Athletics,Seattle Mariners,2018-05-01
12,San Diego Padres,San Francisco Giants,2018-05-01
13,Chicago White Sox,St. Louis Cardinals,2018-05-01
14,Pittsburgh Pirates,Washington Nationals,2018-05-01
0,Baltimore Orioles,Los Angeles Angels,2018-05-02
1,Los Angeles Dodgers,Arizona D'Backs,2018-05-02
2,Kansas City Royals,Boston Red Sox,2018-05-02
3,Colorado Rockies,Chicago Cubs,2018-05-02
4,Milwaukee Brewers,Cincinnati Reds,2018-05-02
5,Texas Rangers,Cleveland Indians,2018-05-02
6,Tampa Bay Rays,Detroit Tigers,2018-05-02
7,New York Yankees,Houston Astros,2018-05-02
8,Philadelphia Phillies,Miami Marlins,2018-05-02
9,Toronto Blue Jays,Minnesota Twins,2018-05-02
10,Atlanta Braves,New York Mets,2018-05-02
11,Oakland Athletics,Seattle Mariners,2018-05-02
12,San Diego Padres,San Francisco Giants,2018-05-02
13,Chicago White Sox,St. Louis Cardinals,2018-05-02
14,Pittsburgh Pirates,Washington Nationals,2018-05-02
0,Baltimore Orioles,Los Angeles Angels,2018-05-03
1,Los Angeles Dodgers,Arizona D'Backs,2018-05-03
2,Minnesota Twins,Chicago White Sox,2018-05-03
3,Toronto Blue Jays,Cleveland Indians,2018-05-03
4,Toronto Blue Jays,Cleveland Indians,2018-05-03
5,New York Yankees,Houston Astros,2018-05-03
6,Detroit Tigers,Kansas City Royals,2018-05-03
7,Atlanta Braves,New York Mets,2018-05-03
8,Oakland Athletics,Seattle Mariners,2018-05-03
9,Boston Red Sox,Texas Rangers,2018-05-03
10,Pittsburgh Pirates,Washington Nationals,2018-05-03
0,Houston Astros,Arizona D'Backs,2018-05-04
1,San Francisco Giants,Atlanta Braves,2018-05-04
2,Minnesota Twins,Chicago White Sox,2018-05-04
3,Miami Marlins,Cincinnati Reds,2018-05-04
4,Detroit Tigers,Kansas City Royals,2018-05-04
5,Pittsburgh Pirates,Milwaukee Brewers,2018-05-04
6,Cleveland Indians,New York Yankees,2018-05-04
7,Colorado Rockies,New York Mets,2018-05-04
8,Baltimore Orioles,Oakland Athletics,2018-05-04
9,Los Angeles Dodgers,San Diego Padres,2018-05-04
10,Los Angeles Angels,Seattle Mariners,2018-05-04
11,Chicago Cubs,St. Louis Cardinals,2018-05-04
12,Toronto Blue Jays,Tampa Bay Rays,2018-05-04
13,Boston Red Sox,Texas Rangers,2018-05-04
14,Philadelphia Phillies,Washington Nationals,2018-05-04
0,Houston Astros,Arizona D'Backs,2018-05-05
1,San Francisco Giants,Atlanta Braves,2018-05-05
2,Minnesota Twins,Chicago White Sox,2018-05-05
3,Miami Marlins,Cincinnati Reds,2018-05-05
4,Detroit Tigers,Kansas City Royals,2018-05-05
5,Pittsburgh Pirates,Milwaukee Brewers,2018-05-05
6,Cleveland Indians,New York Yankees,2018-05-05
7,Colorado Rockies,New York Mets,2018-05-05
8,Baltimore Orioles,Oakland Athletics,2018-05-05
9,Los Angeles Dodgers,San Diego Padres,2018-05-05
10,Los Angeles Angels,Seattle Mariners,2018-05-05
11,Chicago Cubs,St. Louis Cardinals,2018-05-05
12,Toronto Blue Jays,Tampa Bay Rays,2018-05-05
13,Boston Red Sox,Texas Rangers,2018-05-05
14,Philadelphia Phillies,Washington Nationals,2018-05-05
0,Houston Astros,Arizona D'Backs,2018-05-06
1,San Francisco Giants,Atlanta Braves,2018-05-06
2,Minnesota Twins,Chicago White Sox,2018-05-06
3,Miami Marlins,Cincinnati Reds,2018-05-06
4,Detroit Tigers,Kansas City Royals,2018-05-06
5,Pittsburgh Pirates,Milwaukee Brewers,2018-05-06
6,Cleveland Indians,New York Yankees,2018-05-06
7,Colorado Rockies,New York Mets,2018-05-06
8,Baltimore Orioles,Oakland Athletics,2018-05-06
9,Los Angeles Dodgers,San Diego Padres,2018-05-06
10,Los Angeles Angels,Seattle Mariners,2018-05-06
11,Chicago Cubs,St. Louis Cardinals,2018-05-06
12,Toronto Blue Jays,Tampa Bay Rays,2018-05-06
13,Boston Red Sox,Texas Rangers,2018-05-06
14,Philadelphia Phillies,Washington Nationals,2018-05-06
0,Miami Marlins,Chicago Cubs,2018-05-07
